French,English
histoire,history
chercher,search
police,police
pensais,thought
demande,request
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
aucune,any
place,square
attention,Warning
donné,given
train,train
corps,body
endroit,place
dont,whose
trouve,find
premier,first
perdu,lost
vieux,old
tiens,here
point,point
suite,after
venez,come
devant,in front of
mis,placed
aimerais,would like to
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
